Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,property_Area,BAD
Male,Yes,2,Graduate,No,6250.0,1695.0,210.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3727.0,1775.0,131.0,360.0,1.0,Semiurban,0
Male,Yes,0,Not Graduate,No,6033.0,0.0,160.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,No,3510.0,4416.0,243.0,360.0,1.0,Rural,0
Male,Yes,3+,Graduate,No,81000.0,0.0,360.0,360.0,0.0,Rural,1
Male,Yes,0,Graduate,No,9083.0,0.0,228.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,4583.0,5625.0,255.0,360.0,1.0,Semiurban,0
Male,Yes,2,Graduate,Yes,2500.0,4600.0,176.0,360.0,1.0,Rural,0
Female,No,0,Graduate,No,3813.0,0.0,116.0,180.0,1.0,Urban,0
Female,Yes,2,Graduate,No,1378.0,1881.0,167.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,1820.0,1719.0,100.0,360.0,1.0,Urban,0
Male,Yes,1,Graduate,No,3333.0,3250.0,158.0,360.0,1.0,Urban,0
Male,Yes,1,Graduate,No,1538.0,1425.0,30.0,360.0,1.0,Urban,0
Male,No,0,Graduate,No,3333.0,0.0,70.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,3208.0,3066.0,172.0,360.0,1.0,Urban,0
Male,No,0,Graduate,No,5849.0,0.0,146.41216216216216,360.0,1.0,Urban,0
Male,Yes,2,Not Graduate,No,3917.0,0.0,124.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,Yes,3459.0,0.0,25.0,120.0,1.0,Semiurban,0
Male,Yes,1,Graduate,No,2750.0,1842.0,115.0,360.0,1.0,Semiurban,0
Female,No,0,Not Graduate,No,4408.0,0.0,120.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,5923.0,2054.0,211.0,360.0,1.0,Rural,0
Female,No,3+,Graduate,No,3083.0,0.0,255.0,360.0,1.0,Rural,0
Male,Yes,0,Graduate,Yes,39147.0,4750.0,120.0,360.0,1.0,Semiurban,0
Male,No,0,Graduate,Yes,20166.0,0.0,650.0,480.0,0.8421985815602837,Urban,0
Male,Yes,0,Graduate,No,13650.0,0.0,146.41216216216216,360.0,1.0,Urban,0
Male,No,0,Graduate,Yes,6950.0,0.0,175.0,180.0,1.0,Semiurban,0
Male,No,0,Not Graduate,No,3358.0,0.0,80.0,36.0,1.0,Semiurban,1
Female,No,3+,Graduate,No,416.0,41667.0,350.0,180.0,0.8421985815602837,Urban,1
Male,No,0,Graduate,Yes,5166.0,0.0,128.0,360.0,1.0,Semiurban,0
Male,Yes,2,Graduate,No,16666.0,0.0,275.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,4758.0,0.0,158.0,480.0,1.0,Semiurban,0
Male,Yes,2,Graduate,No,3276.0,484.0,135.0,360.0,0.8421985815602837,Semiurban,0
Female,Yes,2,Graduate,No,2031.0,1632.0,113.0,480.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3033.0,1459.0,95.0,360.0,1.0,Urban,0
Male,Yes,3+,Not Graduate,No,3173.0,0.0,74.0,360.0,1.0,Semiurban,0
Male,Yes,1,Graduate,No,5468.0,1032.0,26.0,360.0,1.0,Semiurban,0
Female,Yes,0,Not Graduate,No,3017.0,663.0,102.0,360.0,0.8421985815602837,Semiurban,0
Male,Yes,1,Graduate,Yes,3450.0,2079.0,162.0,360.0,1.0,Semiurban,0
Female,No,0,Graduate,Yes,4583.0,0.0,133.0,360.0,0.0,Semiurban,1
Male,No,0,Not Graduate,No,2699.0,2785.0,96.0,360.0,0.8421985815602837,Semiurban,0
Male,No,0,Graduate,No,4166.0,7210.0,184.0,360.0,1.0,Urban,0
Female,No,1,Graduate,Yes,8624.0,0.0,150.0,360.0,1.0,Semiurban,0
Female,No,0,Graduate,No,4230.0,0.0,112.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,63337.0,0.0,490.0,180.0,1.0,Urban,0
Male,No,0,Graduate,No,2718.0,0.0,70.0,360.0,1.0,Semiurban,0
Male,Yes,1,Graduate,No,4166.0,3369.0,201.0,360.0,0.8421985815602837,Urban,1
Male,Yes,0,Graduate,No,3716.0,0.0,42.0,180.0,1.0,Rural,0
Male,No,0,Graduate,No,2435.0,0.0,75.0,360.0,1.0,Urban,1
Male,Yes,1,Not Graduate,No,3500.0,1083.0,135.0,360.0,1.0,Urban,0
Female,No,0,Not Graduate,No,2165.0,0.0,70.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3597.0,2157.0,119.0,360.0,0.0,Rural,1
Male,Yes,0,Graduate,No,2500.0,2118.0,104.0,360.0,1.0,Semiurban,0
Male,Yes,3+,Graduate,No,8750.0,4996.0,130.0,360.0,1.0,Rural,0
Female,No,0,Not Graduate,No,4350.0,0.0,154.0,360.0,1.0,Rural,0
Male,No,0,Graduate,No,2500.0,0.0,55.0,360.0,1.0,Semiurban,0
Male,Yes,1,Not Graduate,No,6608.0,0.0,137.0,180.0,1.0,Urban,0
Male,Yes,0,Graduate,No,20667.0,0.0,146.41216216216216,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,10833.0,0.0,234.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,2768.0,1950.0,155.0,360.0,1.0,Rural,0
Male,Yes,2,Not Graduate,No,4226.0,1040.0,110.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,2058.0,2134.0,88.0,360.0,0.8421985815602837,Urban,0
Male,No,0,Graduate,No,8333.0,3750.0,187.0,360.0,1.0,Rural,0
Male,No,0,Graduate,No,3583.0,0.0,96.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,Yes,9323.0,7873.0,380.0,300.0,1.0,Rural,0
Female,No,0,Graduate,No,2507.0,0.0,56.0,360.0,1.0,Rural,0
Female,Yes,1,Graduate,No,3326.0,913.0,105.0,84.0,1.0,Semiurban,0
Male,Yes,0,Not Graduate,No,4887.0,0.0,133.0,360.0,1.0,Rural,1
Male,No,0,Graduate,No,2500.0,0.0,96.0,480.0,1.0,Semiurban,1
Female,No,0,Graduate,No,3762.0,1666.0,135.0,360.0,1.0,Rural,0
Male,Yes,0,Graduate,No,2221.0,0.0,60.0,360.0,0.0,Urban,1
Male,Yes,0,Not Graduate,No,1820.0,1769.0,95.0,360.0,1.0,Rural,0
Male,No,2,Graduate,No,3547.0,0.0,80.0,360.0,0.0,Rural,1
Male,Yes,1,Graduate,No,5405.5408496732025,1508.0,128.0,360.0,1.0,Rural,1
