Employment Length,Zip Code,BAD,Amount Requested,Loan Title,State
3 years,018xx,1,21000.0,Consolidation Loan,MA
6 years,906xx,0,5000.0,Moving and relocation,CA
2 years,300xx,0,21000.0,Credit card refinancing,GA
7 years,852xx,0,28000.0,Debt Consolidation,AZ
3 years,488xx,0,8000.0,Credit card refinancing,MI
9 years,321xx,1,23450.0,Debt consolidation,FL
4 years,920xx,0,14000.0,Debt consolidation,CA
4 years,853xx,0,21600.0,Debt consolidation,AZ
9 years,721xx,0,10000.0,Debt consolidation,AR
10+ years,917xx,0,4525.0,Credit card refinancing,CA
10+ years,103xx,1,25000.0,Debt consolidation,NY
10+ years,372xx,0,9000.0,Personal Loan,TN
10+ years,480xx,1,16000.0,Debt consolidation,MI
3 years,606xx,0,28000.0,Debt consolidation,IL
2 years,212xx,0,35000.0,Credit card refinancing,MD
< 1 year,793xx,0,8000.0,Debt consolidation,TX
10+ years,700xx,0,16000.0,Debt consolidation,LA
2 years,802xx,0,10500.0,Debt consolidation,CO
4 years,549xx,0,8000.0,Debt consolidation,WI
9 years,986xx,1,15000.0,Credit card refinancing,WA
5 years,486xx,1,20000.0,Debt consolidation,MI
3 years,967xx,0,15000.0,Credit card refinancing,HI
4 years,054xx,0,8000.0,Debt consolidation,VT
10+ years,445xx,0,8000.0,Home improvement,OH
10+ years,245xx,1,40000.0,Home improvement,VA
10+ years,067xx,0,35000.0,Debt consolidation,CT
10+ years,744xx,0,32000.0,Credit Card Debt Payment,OK
10+ years,913xx,0,12000.0,Lower interest ,CA
4 years,112xx,0,9600.0,Credit card refinancing,NY
< 1 year,069xx,0,10000.0,Credit card refinancing,CT
3 years,112xx,0,10000.0,Debt consolidation,NY
10+ years,970xx,0,20000.0,Credit Card Refinance,OR
7 years,920xx,0,24300.0,Credit card refinancing,CA
10+ years,770xx,0,18000.0,pay off my debt,TX
9 years,794xx,0,11200.0,Debt consolidation,TX
10+ years,260xx,0,34000.0,Credit card refinancing,WV
10+ years,070xx,0,26000.0,Debt,NJ
4 years,208xx,0,20000.0,Major purchase,MD
6 years,296xx,0,5950.0,Debt consolidation,SC
10+ years,295xx,0,20000.0,Debt consolidation,SC
10+ years,333xx,0,20000.0,Home improvement,FL
2 years,283xx,0,10600.0,Payoff bills,NC
10+ years,806xx,0,10000.0,Debt consolidation,CO
7 years,750xx,1,28000.0,Debt consolidation,TX
10+ years,800xx,0,10000.0,Debt consolidation,CO
< 1 year,967xx,0,12000.0,Credit card refinancing,HI
6 years,328xx,1,7450.0,Debt consolidation,FL
3 years,781xx,0,9000.0,Medical expenses,TX
3 years,370xx,0,5400.0,Credit card refinancing,TN
10+ years,462xx,0,6600.0,Other,IN
1 year,383xx,0,1400.0,Other,TN
< 1 year,105xx,1,4900.0,Credit card refinancing,NY
2 years,061xx,0,1700.0,Other,CT
5 years,717xx,1,25000.0,Eliminate CC debt,AR
10+ years,802xx,0,14000.0,Debt consolidation,CO
2 years,334xx,0,20000.0,Debt consolidation,FL
10+ years,925xx,0,35000.0,Debt consolidation,CA
4 years,023xx,1,6025.0,Major purchase,MA
8 years,365xx,0,19200.0,Loan for me,AL
7 years,802xx,0,16425.0,Debt consolidation,CO
< 1 year,211xx,0,15000.0,Debt consolidation,MD
2 years,069xx,0,9000.0,Debt consolidation,CT
10+ years,242xx,0,14400.0,Debt consolidation,VA
3 years,802xx,0,12000.0,Debt consolidation,CO
4 years,945xx,0,35000.0,Debt consolidation,CA
2 years,273xx,0,7000.0,Debt consolidation,NC
10+ years,910xx,1,8000.0,Business,CA
7 years,791xx,0,10000.0,Major purchase,TX
< 1 year,600xx,0,4800.0,Home buying,IL
8 years,604xx,0,16000.0,Debt consolidation,IL
3 years,334xx,1,16700.0,Credit card refinancing,FL
10+ years,554xx,0,20000.0,Credit card refinancing,MN
5 years,930xx,0,10000.0,Debt consolidation,CA
10+ years,481xx,0,35000.0,Debt consolidation,MI
3 years,012xx,0,8875.0,Credit card refinancing,MA
10+ years,800xx,0,14400.0,Debt consolidation,CO
10+ years,657xx,0,22250.0,The big payoff,MO
7 years,347xx,0,8000.0,Debt consolidation,FL
8 years,254xx,0,6000.0,Debt consolidation,VA
10+ years,437xx,0,3000.0,Car financing,OH
2 years,331xx,0,32000.0,Debt consolidation,FL
7 years,112xx,0,2000.0,Medical,NY
6 years,106xx,0,28000.0,Debt consolidation,NY
10+ years,813xx,0,35000.0,Debt consolidation,CO
10+ years,448xx,0,10000.0,Debt Consolidation,OH
10+ years,201xx,0,36000.0,Credit card refinancing,VA
10+ years,480xx,0,11000.0,Credit card refinancing,MI
9 years,169xx,0,4200.0,Refinance credit cards,PA
< 1 year,957xx,0,4000.0,Credit card refinancing,CA
4 years,347xx,1,4625.0,Other,FL
3 years,020xx,0,12000.0,Debt consolidation,MA
3 years,804xx,0,21000.0,Debt Consolidation,CO
< 1 year,364xx,0,3750.0,Debt consolidation,AL
3 years,907xx,0,3575.0,Debt consolidation,CA
6 years,483xx,1,23000.0,Other,MI
10+ years,374xx,0,18000.0,Debt consolidation,TN
3 years,333xx,0,7500.0,Debt consolidation,FL
3 years,906xx,0,24000.0,Debt consolidation,CA
4 years,986xx,0,6000.0,Debt consolidation,WA
7 years,301xx,0,24000.0,Bye Credit Cards,GA
4 years,980xx,0,16000.0,Debt consolidation,WA
3 years,707xx,0,4800.0,Debt consolidation,LA
< 1 year,604xx,0,20000.0,Credit card refinancing,IL
< 1 year,336xx,0,25000.0,Debt consolidation,FL
10+ years,675xx,0,20800.0,Debt consolidation,KS
10+ years,492xx,1,9900.0,Credit card refinancing,MI
9 years,913xx,0,12000.0,Credit card refinancing,CA
< 1 year,200xx,0,14500.0,Credit card refinancing,DC
6 years,786xx,0,12000.0,Debt consolidation,TX
2 years,067xx,0,26400.0,Major purchase,CT
< 1 year,857xx,0,14400.0,Debt consolidation,AZ
< 1 year,471xx,0,16000.0,Credit card refinancing,IN
6 years,336xx,0,4800.0,Debt consolidation,FL
5 years,554xx,1,11875.0,Debt consolidation,MN
6 years,087xx,0,30000.0,Debt consolidation,NJ
4 years,770xx,0,30000.0,Debt consolidation,TX
2 years,357xx,0,32000.0,Moving and relocation,AL
10+ years,606xx,1,32750.0,Debt consolidation,IL
2 years,985xx,0,7000.0,Credit card refinancing,WA
2 years,707xx,1,14000.0,Debt consolidation,LA
< 1 year,612xx,0,6600.0,Credit card refinancing,IL
10+ years,925xx,0,18000.0,Debt consolidation,CA
10+ years,554xx,1,25000.0,Credit card refinancing,MN
10+ years,351xx,0,13325.0,Freedom1,AL
3 years,219xx,0,20000.0,Debt consolidation,MD
10+ years,721xx,0,10000.0,dept consoli,AR
8 years,300xx,0,12000.0,Debt consolidation,GA
3 years,207xx,1,10000.0,Major purchase,MD
10+ years,497xx,0,5600.0,Debt consolidation,MI
8 years,913xx,0,25000.0,Debt consolidation,CA
1 year,803xx,0,35000.0,Debt consolidation,CO
6 years,231xx,0,10500.0,Credit card refinancing,VA
1 year,722xx,0,10200.0,Engagement and more,AR
10+ years,604xx,0,10000.0,Debt consolidation,IL
10+ years,067xx,0,28000.0,Debt consolidation,CT
7 years,200xx,0,12000.0,Credit card refinancing,DC
6 years,617xx,0,7000.0,Last of Revolving Credit to be paid off,IL
6 years,323xx,0,40000.0,Other,FL
10+ years,281xx,0,3500.0,Home improvement,NC
2 years,123xx,1,14000.0,Debt consolidation,NY
5 years,280xx,0,35000.0,Credit Consolidation,NC
5 years,809xx,0,15000.0,Credit card refinancing,CO
4 years,471xx,0,30000.0,Credit card refinancing,IN
2 years,302xx,0,8000.0,Credit card refinancing,GA
1 year,198xx,0,1200.0,Other,DE
2 years,357xx,0,10600.0,Credit card refinancing,AL
10+ years,486xx,1,10000.0,Debt consolidation,MI
10+ years,852xx,0,18900.0,Debt consolidation,AZ
8 years,954xx,1,25000.0,Debt consolidation,CA
10+ years,950xx,0,14000.0,Other,CA
1 year,088xx,0,10275.0,Other,NJ
6 years,640xx,0,6000.0,Debt consolidation,MO
2 years,604xx,0,11200.0,Home improvement,IL
10+ years,440xx,0,3100.0,Debt consolidation,OH
1 year,844xx,0,5000.0,consoladation,UT
9 years,922xx,1,18000.0,Debt consolidation,CA
10+ years,121xx,0,10000.0,Debt consolidation,NY
4 years,802xx,1,28000.0,Credit card refinancing,CO
3 years,021xx,0,35000.0,Debt consolidation,MA
< 1 year,481xx,0,5000.0,Debt consolidation,MI
10+ years,600xx,0,3500.0,Credit card refinancing,IL
4 years,750xx,0,12000.0,Credit card refinancing,TX
10+ years,853xx,0,4500.0,Credit card refinancing,AZ
3 years,200xx,0,28000.0,Peace,DC
3 years,982xx,0,15000.0,Debt consolidation,WA
8 years,331xx,0,15000.0,Home improvement,FL
10+ years,380xx,0,31900.0,Medical expenses,TN
2 years,986xx,0,5000.0,Medical expenses,WA
2 years,960xx,0,10325.0,Debt consolidation,CA
5 years,770xx,0,9600.0,Medical expenses,TX
2 years,277xx,1,1200.0,Other,NC
6 years,232xx,1,6000.0,Other,VA
9 years,941xx,0,5000.0,Debt consolidation,CA
5 years,802xx,0,19200.0,Debt consolidation,CO
10+ years,119xx,0,15000.0,Home improvement,NY
10+ years,489xx,0,8500.0,Credit card refinancing,MI
10+ years,941xx,0,15000.0,Other,CA
8 years,272xx,1,16800.0,Home Improvement,NC
3 years,112xx,0,15000.0,Home improvement,NY
3 years,307xx,1,10000.0,Debt consolidation,GA
10+ years,447xx,0,10000.0,Credit card refinancing,OH
4 years,605xx,0,12000.0,Other,IL
10+ years,939xx,0,7000.0,Credit card refinancing,CA
10+ years,900xx,0,28000.0,Credit card refinancing,CA
10+ years,983xx,0,16000.0,New Life,WA
1 year,038xx,0,13525.0,Debt consolidation,NH
10+ years,290xx,0,20000.0,Credit card refinancing,SC
10+ years,902xx,0,6000.0,vacation loan,CA
10+ years,857xx,0,18000.0,Debt consolidation,AZ
< 1 year,431xx,0,12500.0,Credit card refinancing,OH
2 years,028xx,1,30000.0,Car financing,RI
< 1 year,275xx,0,24000.0,Debt consolidation,NC
5 years,337xx,0,6000.0,Credit Card Consolidation,FL
10+ years,875xx,0,15000.0,Debt consolidation,NM
2 years,200xx,1,5000.0,Reducing Two High Interest Cards,DC
10+ years,300xx,0,3500.0,Credit card refinancing,GA
5 years,950xx,0,21600.0,CC Consolidation,CA
5 years,296xx,1,12000.0,Debt consolidation,SC
1 year,902xx,0,35000.0,Business,CA
9 years,801xx,0,14000.0,Debt consolidation,CO
< 1 year,941xx,0,16500.0,Student and Auto Loan Consolidation,CA
10+ years,953xx,0,15000.0,Credit card refinancing,CA
9 years,956xx,0,20000.0,Debt consolidation,CA
9 years,126xx,0,12000.0,Debt consolidation,NY
5 years,554xx,0,2500.0,Debt consolidation,MN
5 years,342xx,0,16300.0,Debt consolidation,FL
10+ years,863xx,0,23500.0,Debt consolidation,AZ
10+ years,322xx,0,13700.0,Debt consolidation,FL
4 years,546xx,0,10000.0,Debt consolidation,WI
10+ years,023xx,0,35000.0,Debt consolidation,MA
10+ years,322xx,0,20000.0,Debt consolidation,FL
3 years,591xx,0,8000.0,Home improvement,MT
1 year,740xx,0,15500.0,Debt consolidation,OK
1 year,350xx,0,15000.0,Debt consolidation,AL
10+ years,914xx,0,7000.0,Other,CA
10+ years,993xx,0,18000.0,Business Loan,WA
4 years,071xx,1,2000.0,Debt consolidation,NJ
10+ years,296xx,0,35000.0,Debt consolidation,SC
< 1 year,750xx,0,30000.0,Debt consolidation,TX
1 year,070xx,0,20000.0,Credit card refinancing,NJ
< 1 year,070xx,1,35000.0,Major purchase,NJ
9 years,334xx,0,2000.0,Medical expenses,FL
3 years,435xx,0,8600.0,Debt consolidation,OH
9 years,018xx,0,35000.0,Credit card refinancing,MA
8 years,300xx,0,7075.0,Debt consolidation,GA
< 1 year,750xx,1,24000.0,Debt consolidation,TX
5 years,492xx,0,15450.0,Debt consolidation,MI
< 1 year,951xx,0,35000.0,Debt consolidation,CA
4 years,156xx,1,2000.0,Credit card refinancing,PA
10+ years,913xx,0,10000.0,Credit card refinancing,CA
10+ years,610xx,0,15000.0,Credit card refinancing,IL
2 years,073xx,0,6200.0,Credit card refinancing,NJ
2 years,191xx,0,7025.0,Debt consolidation,PA
5 years,064xx,0,18000.0,Debt consolidation,CT
10+ years,333xx,0,15000.0,Credit card refinancing,FL
10+ years,142xx,1,5000.0,Debt consolidation,NY
4 years,765xx,0,30000.0,Debt Cosolidation,TX
10+ years,453xx,0,12000.0,Debt consolidation,OH
10+ years,495xx,0,10000.0,Debt consolidation,MI
3 years,323xx,1,28800.0,Other,FL
2 years,028xx,0,11000.0,Major purchase,RI
6 years,926xx,0,21600.0,Debt consolidation,CA
9 years,975xx,0,2000.0,Credit card refinancing,OR
8 years,018xx,0,9000.0,Credit Card pay off,MA
5 years,553xx,0,5000.0,Medical expenses,MN
10+ years,212xx,0,1800.0,Home improvement,MD
5 years,109xx,0,16000.0,Freedom from Credit Cards,NY
6 years,152xx,0,20000.0,Debt consolidation,PA
10+ years,913xx,0,7625.0,Debt consolidation,CA
1 year,288xx,0,5000.0,Debt consolidation,NC
10+ years,581xx,0,21000.0,Debt consolidation,ND
3 years,895xx,0,15000.0,Debt consolidation,NV
1 year,857xx,0,15000.0,Major purchase,AZ
10+ years,604xx,0,5200.0,Debt consolidation,IL
1 year,913xx,0,10000.0,Credit card refinancing,CA
10+ years,773xx,0,3850.0,Debt consolidation,TX
4 years,637xx,1,6000.0,Debt consolidation,MO
10+ years,952xx,0,9600.0,Debt consolidation,CA
4 years,550xx,0,13000.0,Debt consolidation,MN
10+ years,787xx,0,19500.0,Other,TX
4 years,071xx,0,20000.0,Debt consolidation,NJ
5 years,760xx,1,9000.0,Debt consolidation,TX
6 years,440xx,0,3000.0,Credit card refinancing,OH
10+ years,774xx,0,28400.0,Home improvement,TX
2 years,891xx,1,11000.0,Debt consolidation,NV
7 years,660xx,1,12000.0,taxs,KS
7 years,770xx,0,21600.0,Debt consolidation,TX
4 years,014xx,0,24000.0,PAYOFF LOAN,MA
< 1 year,077xx,0,2800.0,Major purchase,NJ
10+ years,441xx,1,8000.0,Debt consolidation,OH
2 years,483xx,0,4000.0,Personal Loan,MI
6 years,598xx,0,8000.0,Debt consolidation,MT
6 years,928xx,0,3000.0,Home improvement,CA
10+ years,275xx,0,6000.0,Pay off higher interest credit cards,NC
2 years,860xx,0,7000.0,Debt consolidation,AZ
3 years,922xx,0,18000.0,Debt consolidation,CA
10+ years,104xx,0,20000.0,Debt consolidation,NY
4 years,027xx,0,12000.0,Debt consolidation,MA
5 years,790xx,0,25000.0,Credit card refinancing,TX
10+ years,440xx,0,13000.0,Debt consolidation,OH
2 years,486xx,0,22875.0,Debt consolidation,MI
< 1 year,731xx,0,15500.0,Other,OK
< 1 year,070xx,0,10000.0,Debt Consolidation,NJ
< 1 year,068xx,0,16000.0,Credit card refinancing,CT
8 years,681xx,0,10000.0,Debt consolidation,NE
3 years,313xx,1,32000.0,DEBTS,GA
5 years,907xx,1,20000.0,Other,CA
10+ years,891xx,0,15000.0,Debt consolidation,NV
6 years,494xx,0,2000.0,Car financing,MI
10+ years,604xx,0,16000.0,Credit card refinancing,IL
4 years,551xx,0,7600.0,Debt consolidation,MN
