Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Savings_account/bonds,Credit_amount,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors/guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,foreign_worker,BAD
A13,10,A34,A43,1347,A65,A74,4,A93,A101,2,A122,27,A143,A152,2,A173,1,A192,A201,0
A12,30,A33,A43,1919,A62,A72,4,A93,A101,3,A124,30,A142,A152,2,A174,1,A191,A201,1
A14,42,A32,A43,7166,A65,A74,2,A94,A101,4,A122,29,A143,A151,1,A173,1,A192,A201,0
A12,24,A34,A40,3878,A62,A72,4,A91,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,0
A11,12,A32,A42,2577,A61,A73,2,A91,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,0
A12,24,A32,A410,11328,A61,A73,2,A93,A102,3,A123,29,A141,A152,2,A174,1,A192,A201,1
A14,12,A34,A40,926,A61,A71,1,A92,A101,2,A122,38,A143,A152,1,A171,1,A191,A201,0
A12,48,A32,A43,10961,A64,A74,1,A93,A102,2,A124,27,A141,A152,2,A173,1,A192,A201,1
A11,36,A34,A42,2348,A61,A73,3,A94,A101,2,A122,46,A143,A152,2,A173,1,A192,A201,0
A11,36,A32,A41,5493,A61,A75,2,A93,A101,4,A124,42,A143,A153,1,A173,2,A191,A201,0
A14,12,A34,A49,2292,A61,A71,4,A93,A101,2,A123,42,A142,A152,2,A174,1,A192,A201,1
A12,9,A34,A42,1919,A61,A74,4,A93,A101,3,A123,35,A143,A151,1,A173,1,A192,A201,0
A14,12,A34,A45,996,A65,A74,4,A92,A101,4,A121,23,A143,A152,2,A173,1,A191,A201,0
A11,48,A32,A43,6758,A61,A73,3,A92,A101,2,A123,31,A143,A152,1,A173,1,A192,A201,1
A14,30,A32,A43,2333,A63,A75,4,A93,A101,2,A123,30,A141,A152,1,A174,1,A191,A201,0
A12,27,A32,A49,3915,A61,A73,4,A93,A101,2,A123,36,A143,A152,1,A173,2,A192,A201,1
A11,8,A34,A410,1164,A61,A75,3,A93,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,0
A12,42,A31,A41,9283,A61,A71,1,A93,A101,2,A124,55,A141,A153,1,A174,1,A192,A201,0
A14,21,A32,A40,2782,A63,A74,1,A92,A101,2,A123,31,A141,A152,1,A174,1,A191,A201,0
A11,18,A32,A41,7511,A65,A75,1,A93,A101,4,A122,51,A143,A153,1,A173,2,A192,A201,1
A14,9,A32,A44,1236,A61,A72,1,A92,A101,4,A121,23,A143,A151,1,A173,1,A192,A201,0
A12,36,A32,A43,2323,A61,A74,4,A93,A101,4,A123,24,A143,A151,1,A173,1,A191,A201,0
A12,30,A34,A42,8386,A61,A74,2,A93,A101,2,A122,49,A143,A152,1,A173,1,A191,A201,1
