Loan Amount,Funded Amount,Funded Amount Investor,Term,Interest Rate,Grade,Sub Grade,Employment Duration,Home Ownership,Verification Status,Debit to Income,Delinquency - two years,Inquires - six months,Open Account,Public Record,Revolving Balance,Revolving Utilities,Total Accounts,Initial List Status,Total Received Interest,Total Received Late Fee,Recoveries,Collection Recovery Fee,Collection 12 months Medical,Application Type,Last week Pay,Total Collection Amount,Total Current Balance,Total Revolving Credit Limit,BAD
30347,9952,27279.43058,59,18.80640273,A,G3,MORTGAGE,94452.82915,Not Verified,30.23399778,0,0,11,1,25561,52.22043862,17,f,4482.236033,0.004911348,0.8708961040000001,0.639849935,0,INDIVIDUAL,133,35,72014,5039,1
10522,24956,23646.89654,58,19.27034576,B,C2,MORTGAGE,66410.63321,Verified,25.77039114,0,0,15,0,7686,55.62735385,9,w,8786.101705,0.043585306,3.064868036,0.073665839,0,INDIVIDUAL,36,40,220669,36177,0
23523,26424,6609.179423,58,7.145000515,E,C1,RENT,45467.8094,Verified,16.88374006,0,0,17,0,9189,42.69137707,17,f,4711.832496,0.084294064,3.983310103,1.00627039,0,INDIVIDUAL,111,23,433403,1512,0
4552,16784,22545.73572,59,10.24108795,C,C4,MORTGAGE,195960.7453,Source Verified,14.24883379,1,0,10,0,1639,30.39089383,21,w,1364.407076,0.0216704579999999,1.928081021,1.065068175,0,INDIVIDUAL,76,1262,56369,19689,0
6920,16089,12028.23678,59,16.03235881,E,D1,MORTGAGE,94116.49074,Source Verified,26.01271156,1,1,11,0,4472,82.87369471,15,w,317.4194017,34.5939131,4.716684616,0.09826125,1,INDIVIDUAL,75,15,294015,16341,0
20144,9177,25302.40986,58,9.778382375,A,A2,MORTGAGE,58366.72016,Verified,25.99211299,0,1,12,0,1392,48.77615114,24,f,4444.143299,0.048768557,3.136251434,1.1316797159999998,0,INDIVIDUAL,149,44,88096,6983,0
29088,21397,8583.704925,58,16.51759986,B,C3,MORTGAGE,36801.05916,Verified,21.40605227,0,0,12,0,5746,61.71923411,10,f,3125.195587,0.080569146,1.338334386,1.083299301,0,INDIVIDUAL,59,21,59145,87939,0
12504,30053,16901.19465,58,10.79128636,C,A3,MORTGAGE,91100.53566,Source Verified,15.27967559,0,0,6,0,5320,46.72073956,24,f,1903.827952,0.01920699,2568.135361,0.4767341989999999,0,INDIVIDUAL,130,10,89444,2314,0
10777,21601,12326.73097,59,5.517285648,D,A4,OWN,111093.7853,Not Verified,14.88419954,0,1,9,0,26739,40.64920262,23,w,64.77119325,0.004330298,2.349394649,0.442957265,0,INDIVIDUAL,84,18,54449,47774,0
22109,25216,26149.59624,59,12.85203469,D,D4,RENT,82381.45332,Not Verified,32.94774715,0,0,5,0,14386,6.3565189470000005,25,w,117.8631543,0.071481215,0.448127281,0.122121763,0,INDIVIDUAL,70,41,119981,20417,0
