loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,BAD,dtir1
cf,Joint,nopre,type1,p4,l1,nopc,156500,4.056273024512094,0.36641514612813764,3409.544460592627,240.0,not_neg,not_int,not_lpsm,529023.0658963555,sb,pr,home,1U,3600.0,EQUI,729,EXP,55-64,to_inst,70.53786977721364,south,direct,1,37.05157872662454
cf,Sex Not Available,pre,type3,p1,l1,nopc,496500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,529023.0658963555,sb,pr,home,1U,8640.0,EQUI,594,EXP,45-54,to_inst,70.53786977721364,south,direct,1,37.05157872662454
cf,Male,pre,type3,p1,l1,nopc,296500,2.99,-0.2574,6647.44,360.0,neg_amm,not_int,not_lpsm,318000.0,sb,pr,home,1U,2160.0,CIB,642,CIB,>74,to_inst,93.23899371,North,direct,0,61.0
cf,Male,nopre,type1,p1,l2,nopc,286500,4.5,0.4905,0.0,360.0,not_neg,not_int,not_lpsm,318000.0,sb,sr,home,1U,5700.0,CRIF,697,CIB,25-34,not_inst,90.09433962,North,direct,0,40.0
cf,Male,nopre,type3,p4,l1,nopc,276500,2.99,-0.5736,10.93,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,7301.624987741493,EXP,688,CIB,35-44,not_inst,96.00694444,south,direct,0,37.05157872662454
cf,Joint,nopre,type1,p3,l1,nopc,546500,4.25,0.5097,13369.75,240.0,neg_amm,not_int,not_lpsm,858000.0,sb,pr,home,1U,10620.0,CIB,746,EXP,65-74,to_inst,63.69463869,North,direct,0,37.0
cf,Joint,nopre,type3,p1,l2,nopc,286500,4.056273024512094,0.36641514612813764,3409.544460592627,300.0,neg_amm,not_int,not_lpsm,258000.0,sb,pr,home,1U,6120.0,EXP,799,EXP,25-34,not_inst,111.0465116,central,direct,1,38.0
ncf,Male,nopre,type1,p4,l1,nopc,556500,4.056273024512094,0.36641514612813764,3409.544460592627,180.0,not_neg,not_int,not_lpsm,808000.0,sb,pr,home,1U,0.0,EXP,728,CIB,45-54,to_inst,68.87376238,North,direct,1,6.0
cf,Sex Not Available,nopre,type3,p4,l1,nopc,206500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,7301.624987741493,EXP,900,CIB,65-74,to_inst,80.03875969,south,direct,1,37.05157872662454
cf,Sex Not Available,nopre,type1,p4,l1,nopc,566500,3.875,0.2756,295.0,360.0,not_neg,not_int,not_lpsm,1268000.0,sb,pr,home,2U,13500.0,CRIF,505,EXP,35-44,to_inst,44.67665615,south,direct,0,26.0
cf,Sex Not Available,nopre,type3,p4,l1,nopc,206500,4.25,0.524,0.0,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,7301.624987741493,CIB,730,CIB,25-34,to_inst,90.57017544,south,direct,0,37.05157872662454
cf,Male,pre,type1,p3,l1,nopc,506500,3.99,0.62,8141.5,360.0,not_neg,not_int,not_lpsm,1108000.0,sb,pr,home,1U,5520.0,CRIF,601,EXP,65-74,to_inst,45.71299639,North,direct,0,44.0
ncf,Male,pre,type1,p3,l1,nopc,786500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,529023.0658963555,sb,pr,home,1U,8820.0,EQUI,878,EXP,45-54,not_inst,70.53786977721364,North,direct,1,37.05157872662454
cf,Sex Not Available,nopre,type1,p1,l1,nopc,296500,4.625,0.2589,2980.0,360.0,neg_amm,not_int,not_lpsm,398000.0,sb,ir,home,1U,30720.0,EXP,677,EXP,35-44,not_inst,74.49748744,North,direct,0,26.0
cf,Joint,nopre,type1,p1,l1,nopc,586500,3.75,0.1295,3409.544460592627,360.0,not_neg,not_int,not_lpsm,648000.0,sb,pr,home,1U,11580.0,CIB,500,EXP,35-44,not_inst,90.50925926,North,direct,0,31.0
cf,Female,nopre,type1,p3,l2,nopc,136500,4.5,1.0462,3785.63,240.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,2040.0,CRIF,590,CIB,55-64,to_inst,59.86842105,North,direct,0,40.0
cf,Sex Not Available,nopre,type1,p3,l1,nopc,306500,4.56,0.5343,2649.4,360.0,not_neg,not_int,not_lpsm,518000.0,sb,pr,home,1U,9180.0,EXP,571,EXP,55-64,to_inst,59.16988417,south,direct,0,21.0
cf,Female,nopre,type3,p3,l1,nopc,136500,4.5,0.4377,2106.4,360.0,not_neg,not_int,not_lpsm,178000.0,sb,pr,home,1U,3060.0,CRIF,893,CIB,45-54,to_inst,76.68539326,North-East,direct,0,42.0
cf,Male,nopre,type3,p1,l1,nopc,276500,3.625,0.2912,4063.64,360.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,3660.0,CRIF,713,CIB,35-44,to_inst,99.46043165,North,direct,0,45.0
cf,Sex Not Available,pre,type1,p3,l1,nopc,206500,3.75,0.8277,5767.59,240.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,5340.0,EXP,657,CIB,25-34,to_inst,74.28057554,south,direct,0,36.0
cf,Male,nopre,type1,p3,l2,nopc,206500,4.375,0.1745,3653.13,360.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,3600.0,EXP,564,CIB,65-74,to_inst,64.93710692,central,direct,0,40.0
cf,Joint,nopre,type1,p3,l1,nopc,446500,3.5,-0.1142,4066.95,360.0,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1U,7080.0,CIB,818,EXP,35-44,not_inst,74.66555184,south,direct,0,41.0
cf,Male,nopre,type1,p3,l1,nopc,296500,3.625,0.1634,4768.08,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,3360.0,EXP,758,CIB,45-54,not_inst,69.27570093,central,direct,0,49.0
cf,Female,nopre,type1,p3,l1,nopc,286500,3.99,0.3636,1973.96,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,6000.0,CIB,534,EXP,55-64,not_inst,56.3976378,south,direct,0,37.0
cf,Female,nopre,type1,p3,l1,nopc,56500,4.375,1.4102,2557.0,360.0,not_neg,int_only,not_lpsm,78000.0,sb,pr,home,1U,5100.0,CIB,789,EXP,65-74,not_inst,72.43589744,central,direct,0,20.0
cf,Sex Not Available,nopre,type1,p3,l1,nopc,126500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,int_only,not_lpsm,529023.0658963555,sb,pr,home,1U,1440.0,EQUI,762,EXP,55-64,to_inst,70.53786977721364,south,direct,1,37.05157872662454
cf,Male,nopre,type1,p4,l1,nopc,286500,4.5,0.1824,0.0,360.0,not_neg,not_int,not_lpsm,378000.0,sb,pr,home,1U,3360.0,CRIF,510,CIB,45-54,not_inst,75.79365079,North,direct,0,42.0
cf,Male,nopre,type1,p4,l1,nopc,106500,3.5,0.8805,3477.5,180.0,not_neg,not_int,not_lpsm,168000.0,sb,pr,home,1U,3120.0,CIB,627,CIB,25-34,to_inst,63.39285714,North,direct,0,31.0
